ID,Language
1307,English
1308,English
1309,Indonesian
1310,English
1311,Japanese
1312,Punjabi
1313,English
1314,French
1315,English
1316,English
1317,Hindi
1318,English
1319,Spanish
1319,Polish
1320,English
1321,English
1322,English
1323,English
1324,English
1325,Japanese
1326,English
1327,Hindi
1328,English
1329,Spanish
1330,English
1330,Spanish
1332,English
1333,English
1334,English
1335,German
1335,French
1335,Swedish
1335,English
1336,English
1337,English
1338,English
1339,English
1340,English
1341,English
1342,English
1343,English
1344,Japanese
1346,Hindi
1347,English
1347,Spanish
1347,Italian
1347,French
1348,Filipino
1348,Tagalog
1349,English
1350,English
1351,English
1352,English
1353,English
1353,Arabic
1354,English
1355,Bengali
1355,English
1355,Mandarin
1356,French
1357,Tamil
1357,Malayalam
1358,Hindi
1359,English
1360,English
1361,English
1362,Hindi
1363,English
1364,English
1365,English
1365,German
1366,English
1367,English
1368,English
1369,English
1370,English
1371,Tagalog
1371,Filipino
1372,Hindi
1373,English
1374,Khmer
1374,English
1374,French
1375,English
1376,Spanish
1377,English
1378,Filipino
1378,Tagalog
1379,English
1380,French
1380,English
1380,German
1380,Nepali
1381,English
1382,Spanish
1382,English
1383,English
1384,Japanese
1386,English
1387,English
1387,Ukrainian
1387,Russian
1388,English
1389,English
1389,Japanese
1390,English
1391,English
1392,French
1392,Lingala
1393,French
1394,German
1395,English
1396,English
1396,French
1397,Spanish
1397,English
1398,Hindi
1399,Hindi
1400,English
1401,English
1402,Mandarin
1403,English
1404,Turkish
1405,French
1406,English
1407,Thai
1408,Indonesian
1409,English
1410,Polish
1410,German
1411,English
1412,Spanish
1413,English
1414,Hindi
1415,English
1415,Spanish
1416,English
1416,German
1416,French
1417,Japanese
1418,English
1419,English
1420,English
1421,English
1422,English
1423,Hindi
1424,English
1425,Spanish
1425,English
1426,English
1427,English
1428,English
1428,Russian
1429,Hindi
1430,Hindi
1431,Spanish
1432,English
1432,German
1433,Hindi
1434,Polish
1435,Hindi
1436,Arabic
1437,English
1438,Portuguese
1439,Hindi
1440,English
1441,English
1442,English
1443,English
1443,Spanish
1444,English
1445,English
1446,English
1447,English
1447,Russian
1448,English
1449,English
1449,German
1449,Spanish
1450,English
1451,Hindi
1452,English
1453,English
1454,Japanese
1455,English
1456,English
1456,Japanese
1457,English
1457,Mohawk
1457,French
1458,Japanese
1459,Romanian
1459,English
1460,Hindi
1461,English
1462,English
1462,French
1462,Russian
1463,Italian
1464,Hindi
1465,Filipino
1465,Tagalog
1465,Spanish
1466,German
1467,Filipino
1467,Tagalog
1467,English
1468,English
1470,English
1471,French
1472,English
1472,Spanish
1473,English
1473,French
1473,Ukrainian
1474,Korean
1475,Spanish
1476,Hindi
1476,Punjabi
1476,English
1477,English
1478,English
1479,English
1480,English
1481,English
1482,English
1483,English
1484,English
1485,Hindi
1486,English
1487,English
1488,Hindi
1489,English
1489,Japanese
1490,English
1491,English
1491,French
1492,Japanese
1493,Hindi
1493,English
1494,Korean
1494,Mandarin
1494,English
1495,English
1496,Malayalam
1497,English
1498,English
1499,Hindi
1500,English
1501,English
1502,English
1503,English
1504,English
1505,Spanish
1506,Spanish
1507,English
1508,Russian
1508,German
1509,English
1509,German
1509,French
1510,Thai
1511,Malayalam
1512,English
1513,Spanish
1514,English
1515,English
1516,Kannada
1518,English
1519,English
1520,Italian
1520,English
1520,French
1521,English
1522,English
1523,English
1524,English
1525,English
1526,English
1527,Turkish
1528,French
1528,Arabic
1529,Turkish
1530,English
1531,Thai
1532,English
1532,Spanish
1533,English
1534,English
1535,English
1536,Hindi
1537,English
1538,Norwegian
1538,English
1539,Spanish
1540,English
1541,Hindi
1542,English
1542,Spanish
1543,Japanese
1543,English
1544,English
1545,English
1546,English
1547,English
1548,English
1549,English
1550,Cantonese
1551,English
1552,English
1553,English
1554,Dutch
1554,Yiddish
1554,English
1555,Hindi
1556,English
1556,Spanish
1557,Finnish
1558,Hindi
1559,Spanish
1560,Turkish
1561,English
1562,Spanish
1563,English
1564,Japanese
1565,Japanese
1567,English
1568,Spanish
1569,Hindi
1569,English
1570,English
1571,Spanish
1572,English
1573,Spanish
1574,Filipino
1574,Tagalog
1575,Tagalog
1575,Filipino
1576,English
1577,English
1578,English
1579,Turkish
1580,Japanese
1581,English
1582,Gujarati
1583,English
1584,English
1585,Korean
1586,English
1587,English
1588,English
1589,Tamil
1590,English
1591,English
1593,English
1594,English
1595,Spanish
1595,English
1595,Italian
1596,Turkish
1597,English
1598,English
1599,English
1600,English
1601,English
1602,Malay
1602,English
1603,Hindi
1604,English
1605,English
1606,English
1606,Dutch
1607,English
1608,English
1609,English
1610,Indonesian
1610,German
1610,Dutch
1610,English
1611,English
1612,Telugu
1612,Tamil
1613,English
1614,English
1615,English
1616,English
1617,English
1618,English
1619,English
1620,English
1621,English
1622,Tagalog
1622,Filipino
1622,English
1623,English
1624,English
1625,Cantonese
1626,Swedish
1626,Ukrainian
1626,English
1627,English
1628,English
1629,Filipino
1629,Tagalog
1630,Filipino
1630,Tagalog
1631,English
1632,English
1633,Hindi
1633,Assamese
1634,English
1635,Hindi
1635,English
1636,English
1637,English
1638,Hindi
1639,English
1640,English
1641,English
1642,Indonesian
1643,English
1644,English
1644,Spanish
1645,English
1645,Spanish
1645,Finnish
1646,English
1647,French
1648,English
1649,Telugu
1649,Hindi
1650,English
1651,Arabic
1651,French
1652,English
1653,Mandarin
1654,English
1654,Swedish
1655,English
1656,English
1657,Korean
1659,English
1660,English
1661,Cantonese
1661,Mandarin
1662,English
1663,Hindi
1664,English
1665,Thai
1666,English
1667,Malayalam
1668,English
1668,Thai
1669,English
1670,English
1671,English
1672,English
1672,Korean
1673,English
1674,English
1675,English
1676,English
1677,English
1678,Filipino
1679,English
1680,Spanish
1681,English
1682,Punjabi
1683,Hindi
1684,Korean
1685,Filipino
1685,Tagalog
1685,English
1686,English
1687,Hindi
1688,English
1689,English
1689,French
1690,English
1691,English
1692,Japanese
1693,English
1694,English
1695,Spanish
1695,English
1696,English
1698,Cantonese
1699,English
1700,Filipino
1700,Tagalog
1701,English
1702,Hindi
1703,English
1704,Hindi
1705,English
1706,English
1707,Hindi
1708,English
1709,English
1710,English
1711,French
1712,Hindi
1712,English
1712,French
1713,French
1714,Spanish
1715,English
1716,Spanish
1717,Hindi
1717,English
1718,English
1719,Polish
1719,Danish
1720,English
1721,English
1722,English
1722,Chinese
1723,English
1724,Hindi
1725,English
1726,English
1727,Thai
